Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,PresentFlags,Dropped,TimeInSeconds,msInPresentAPI,msBetweenPresents,AllowsTearing,PresentMode,msUntilRenderComplete,msUntilDisplayed,msBetweenDisplayChange,msFlipDelay,msUntilRenderStart,msGPUActive,msSinceInput
eurotrucks2.exe,47352,0x000001BB9F76A020,DXGI,0,512,0,0.01737780000000,0.11490000000000,0.85060000000000,0,Composed: Flip,0.62970000000000,13.72930000000000,6.91480000000000,0.00000000000000,-0.09120000000000,0.72090000000000,0.00000000000000
eurotrucks2.exe,47352,0x000001BB9F76A020,DXGI,0,512,1,0.03046920000000,0.12670000000000,13.09140000000000,0,Composed: Flip,0.66340000000000,0.00000000000000,0.00000000000000,0.00000000000000,-12.46170000000000,13.10500000000000,0.00000000000000
eurotrucks2.exe,47352,0x000001BB9F76A020,DXGI,0,512,0,0.03128240000000,0.12690000000000,0.81320000000000,0,Composed: Flip,0.48510000000000,13.67930000000000,13.85460000000000,0.00000000000000,-0.14980000000000,0.63490000000000,0.00000000000000
eurotrucks2.exe,47352,0x000001BB9F76A020,DXGI,0,512,1,0.03863840000000,0.11820000000000,7.35600000000000,0,Composed: Flip,0.75010000000000,0.00000000000000,0.00000000000000,0.00000000000000,-6.87090000000000,7.62100000000000,0.00000000000000
eurotrucks2.exe,47352,0x000001BB9F76A020,DXGI,0,512,0,0.04181920000000,0.14990000000000,3.18080000000000,0,Composed: Flip,0.65340000000000,10.11920000000000,6.97670000000000,0.00000000000000,-2.43070000000000,2.98250000000000,0.00000000000000
eurotrucks2.exe,47352,0x000001BB9F76A020,DXGI,0,512,0,0.04840340000000,0.08810000000000,6.58420000000000,0,Composed: Flip,1.09270000000000,10.49240000000000,6.95740000000000,0.00000000000000,-5.93080000000000,4.50130000000000,0.00000000000000
eurotrucks2.exe,47352,0x000001BB9F76A020,DXGI,0,512,0,0.05771340000000,0.09670000000000,9.31000000000000,0,Composed: Flip,0.19190000000000,8.08250000000000,6.90010000000000,0.00000000000000,-8.21730000000000,8.14220000000000,0.00000000000000
eurotrucks2.exe,47352,0x000001BB9F76A020,DXGI,0,512,0,0.06465430000000,0.13050000000000,6.94090000000000,0,Composed: Flip,0.47140000000000,8.09050000000000,6.94890000000000,0.00000000000000,-6.72160000000000,4.48750000000000,0.00000000000000
eurotrucks2.exe,47352,0x000001BB9F76A020,DXGI,0,512,0,0.07570260000000,0.09800000000000,11.04830000000000,0,Composed: Flip,0.20400000000000,10.93330000000000,13.89110000000000,0.00000000000000,-8.99340000000000,8.92630000000000,0.00000000000000
eurotrucks2.exe,47352,0x000001BB9F76A020,DXGI,0,512,0,0.08450130000000,0.14280000000000,8.79870000000000,0,Composed: Flip,0.43600000000000,9.08170000000000,6.94710000000000,0.00000000000000,-8.57300000000000,4.71210000000000,0.00000000000000
eurotrucks2.exe,47352,0x000001BB9F76A020,DXGI,0,512,0,0.09395560000000,0.10710000000000,9.45430000000000,0,Composed: Flip,0.21820000000000,13.50730000000000,13.87990000000000,0.00000000000000,-8.96570000000000,8.87090000000000,0.00000000000000
eurotrucks2.exe,47352,0x000001BB9F76A020,DXGI,0,512,0,0.10356170000000,0.15100000000000,9.60610000000000,0,Composed: Flip,0.45300000000000,10.84280000000000,6.94160000000000,0.00000000000000,-9.33420000000000,9.34390000000000,0.00000000000000
eurotrucks2.exe,47352,0x000001BB9F76A020,DXGI,0,512,0,0.10824460000000,0.07240000000000,4.68290000000000,0,Composed: Flip,0.15400000000000,13.25820000000000,7.09830000000000,0.00000000000000,-4.22990000000000,4.16260000000000,0.00000000000000
eurotrucks2.exe,47352,0x000001BB9F76A020,DXGI,0,512,0,0.11668740000000,0.11960000000000,8.44280000000000,0,Composed: Flip,0.61030000000000,11.61740000000000,6.80200000000000,0.00000000000000,-8.22480000000000,4.97480000000000,0.00000000000000
